entity_id,entity_name,entity_type
585,吴兴（今浙江湖州）,地名
586,戴表元,人名
587,帅初、曾伯,字号
588,浙江奉化,地名
589,伯机,字号
590,困学民、直案老人,字号
591,渔阳（今河北蓟县）,地名
592,仇远,人名
593,仁近、仁父,字号
594,山村,字号
595,白珽,人名
596,廷玉,字号
597,湛渊、栖霞山人,字号
598,子昂,字号
599,松雪道人、鸥波、水晶宫道人,字号
600,赵体,书体/印风
601,赵雍,人名
602,郭畀,人名
603,康里巎巎,人名
604,王蒙,人名
605,俞和,人名
606,弘历,人名
607,冯子振,人名
608,海粟,字号
609,瀛洲客、怪怪道人,字号
610,攸州（今湖南攸县）,地名
611,邓文原,人名
612,善之、匪石,字号
613,素履先生,字号
614,绵州（今四川绵阳）,地名
615,龚璛,人名
616,自高邮（今江苏高邮）徙平江（今湖南平江）,地名
617,袁桷,人名
618,伯长,字号
619,清容居士,字号
620,庆元（今浙江庆元）,地名
621,吴全节,人名
622,成季,字号
623,闲闲、看云道人,字号
624,饶州安仁（今江西余江）,地名
625,黄公望,人名
626,子久,字号
627,一峰、大痴、一峰道人、大痴道人、井西道人,字号
628,平江常熟（今江苏常熟）,地名
629,吴镇,人名
630,倪瓒,人名
631,虞集,人名
632,伯生,字号
633,道园,字号
634,蜀郡（今四川成都）,地名
635,隶书,书体/印风
636,欧阳玄,人名
637,原功,字号
638,圭斋、平心老人、霜华山人,字号
639,其先家庐陵（今江西吉安）,地名
640,揭傒斯,人名
641,曼硕,字号
642,龙兴富州（今江西丰城）,地名
643,柳贯,人名
644,黄溍,人名
645,杨载,人名
646,范梈,人名
647,张雨,人名
648,伯雨,字号
649,句曲外史、贞居子,字号
650,金琮,人名
651,钱良祐,人名
652,翼之,字号
653,江村民、江村先生,字号
654,平江（今湖南平江）,地名
655,篆书,书体/印风
656,仲圭,字号
657,梅花道人、梅道人、梅沙弥,字号
658,浙江嘉兴魏塘,地名
659,訾光,人名
660,张翥,人名
661,仲举,字号
662,蜕庵,字号
663,晋宁（今山西临汾）,地名
664,薛玄义,人名
665,玄卿,字号
666,上清外史,字号
667,贵溪（今江西贵溪）,地名
668,天锡、佑之,字号
669,北山,字号
670,京口（今江苏镇江）,地名
671,柯九思,人名
672,敬仲,字号
673,丹丘生,字号
674,天台（今浙江天台）,地名
675,仲穆,字号
676,朱德润,人名
677,泽民,字号
678,睢阳山人、眉宇散人、翁同山人,字号
679,原籍睢阳（今河南商丘）,地名
680,子山,字号
681,正斋、恕叟,字号
682,康里（今属新疆）,地名
683,危素,人名
684,宋璲,人名
685,杨维桢,人名
686,廉夫,字号
687,铁崖、铁笛道人、铁冠道人、梅花道人,字号
688,会稽（今浙江绍兴）,地名
689,吴叡,人名
690,孟思,字号
691,雪涛散人、青云生,字号
692,浙江杭州,地名
693,吾丘衍,人名
694,周伯琦,人名
695,伯温,字号
696,谷阳生、玉雪坡真逸,字号
697,饶州（今江西鄱阳）,地名
698,元镇,字号
699,云林、云林子、云林散人、荆蛮民、净名居士、朱阳馆主、萧闲仙卿、幻霞生,字号
700,无锡（今江苏无锡）,地名
701,泰不华,人名
702,兼善,字号
703,台州（今浙江临海）,地名
704,张有,人名
705,叔明、叔铭,字号
706,黄鹤山樵、黄鹤山人、黄鹤樵、黄鹤山中樵、香光居士,字号
707,陈基,人名
708,敬初,字号
709,浙江临海,地名
710,李倜,人名
711,士弘,字号
712,篑峤、员峤真逸,字号
713,吴炳,人名
714,彦辉,字号
715,篆书,书体/印风
716,沈右,人名
717,仲说,字号
718,御斋、寓斋,字号
719,吴中（今江苏苏州）,地名
720,陆广,人名
721,季弘,字号
722,天游生,字号
723,吴（今江苏苏州）,地名
724,陆居仁,人名
725,宅之,字号
726,巢松翁、松云野褐、瑁湖居士,字号
727,华亭（今上海市松江）,地名
728,钱惟善,人名
729,陈绎曾,人名
730,伯敷、伯孚,字号
731,处州（今浙江丽水）,地名
732,子中,字号
733,紫芝、紫芝生、清隐散人,字号
734,桐江（今浙江桐庐）,地名
735,饶介,人名
736,介之,字号
737,醉翁、华盖山樵,字号
738,临川（今江西抚州）,地名
739,思复,字号
740,心白道人、曲江居士,字号
741,钱逵,人名
742,伯行,字号
743,鲁渊,人名
744,道源,字号
745,岐山先生,字号
746,浙江淳安,地名
747,熊梦祥,人名
748,自得,字号
749,松云道人,字号
750,富州（今江西丰城）,地名
751,薛毅夫,人名
752,茂弘,字号
753,鹤斋、白屋生,字号
754,江西贵溪,地名
755,太朴,字号
756,云林,字号
757,明,时间
758,金谿（今江西金溪）,地名
759,杜环,人名
760,詹希元,人名
